This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is a malicious agent
{'n_agents': 5, 'agent_label': ['Cooperative', 'Cooperative', 'Cooperative', 'Cooperative', 'Malicious'], 'n_actions': 5, 'n_states': 2, 'n_episodes': 10000, 'max_ep_len': 20, 'slow_lr': 0.002, 'fast_lr': 0.01, 'gamma': 0.9, 'H': 1, 'eps': 0.05, 'n_ep_fixed': 100, 'n_epochs': 20, 'in_nodes': [[0, 1, 2, 3], [1, 2, 3, 4], [2, 3, 4, 0], [3, 4, 0, 1], [4, 0, 1, 2]], 'randomize_state': True, 'scaling': True, 'resilient_method': 'projection-based', 'summary_dir': './simulation_results/', 'random_seed': 200, 'desired_state': array([[2, 1],
       [0, 4],
       [2, 4],
       [1, 3],
       [1, 1]]), 'initial_state': array([[3, 2],
       [0, 1],
       [3, 3],
       [1, 1],
       [5, 0]])}
| Episode: 0 | Est. returns: 0.2875808775424957 | Returns: [-5.70336925 -3.46650204 -4.06919848 -5.38584217 -2.54947265] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 1 | Est. returns: 0.11242766678333282 | Returns: [-3.3396711  -4.49515284 -2.98225434 -4.91321083 -4.87129468] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 2 | Est. returns: -0.4509885907173157 | Returns: [-0.92524727 -1.28666498 -4.02387807 -2.69153855 -3.82227489] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 3 | Est. returns: -0.13948115706443787 | Returns: [-2.06782827 -1.04562263 -2.22717863 -3.69684542 -5.3187535 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 4 | Est. returns: 0.23896244168281555 | Returns: [-3.45061197 -1.18168018 -1.37581759 -3.5759408  -2.13501905] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 5 | Est. returns: 0.2209015041589737 | Returns: [-3.14338409 -7.52356676 -2.18605438 -2.68750932 -6.06299746] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 6 | Est. returns: 0.1908746063709259 | Returns: [-2.15318465 -5.60946577 -4.4687819  -2.96248381 -2.16438936] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 7 | Est. returns: -0.07129362225532532 | Returns: [-2.42961619 -4.73135876 -3.52775499 -1.04379889 -2.25200495] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 8 | Est. returns: 0.188733771443367 | Returns: [-2.7112112  -2.92439143 -3.02597003 -3.88299436 -2.42279159] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 9 | Est. returns: 0.2948453426361084 | Returns: [-4.60272436 -4.84621259 -1.7474742  -3.8586159  -4.92037551] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 10 | Est. returns: 0.1385868340730667 | Returns: [-4.99733067 -1.78477848 -1.94340135 -2.02889628 -3.23896639] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 11 | Est. returns: 0.3304373025894165 | Returns: [-3.79874586 -2.35486659 -4.39136249 -1.81827608 -2.97985246] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 12 | Est. returns: 0.18538826704025269 | Returns: [-2.74281517 -6.8174187  -2.41657854 -1.82085528 -5.04247288] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 13 | Est. returns: -0.4912111461162567 | Returns: [-4.62935099 -3.11060741 -4.98576046 -3.57464664 -2.0573775 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 14 | Est. returns: 0.16378891468048096 | Returns: [-2.63711942 -5.28679122 -2.1241619  -4.68306689 -1.2865755 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 15 | Est. returns: -0.029314877465367317 | Returns: [-2.99169502 -6.66092661 -0.97794947 -2.4164352  -3.50892826] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 16 | Est. returns: 0.4593859314918518 | Returns: [-4.44671004 -6.59677832 -1.54728957 -2.20107072 -2.90105513] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 17 | Est. returns: -0.16832409799098969 | Returns: [-3.42659248 -4.90692074 -4.18758331 -2.45962095 -1.92408824] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 18 | Est. returns: -0.2172592431306839 | Returns: [-3.44419783 -4.51098905 -1.36676059 -3.89183206 -4.1046365 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 19 | Est. returns: -0.04793323576450348 | Returns: [-2.69535061 -2.3409666  -2.08880112 -3.36562785 -3.39823645] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 20 | Est. returns: -0.13320258259773254 | Returns: [-3.93452261 -1.35174014 -2.18465043 -4.30668665 -1.88168578] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 21 | Est. returns: -0.20506739616394043 | Returns: [-4.41766707 -4.19115541 -3.48576933 -2.97725494 -3.98687093] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 22 | Est. returns: 0.30729565024375916 | Returns: [-1.31299051 -6.26406096 -3.98675717 -2.92778978 -1.82284443] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 23 | Est. returns: -0.5513129830360413 | Returns: [-3.23956458 -1.95944229 -3.12573556 -3.56257099 -3.26066428] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 24 | Est. returns: 0.3761345446109772 | Returns: [-2.73467984 -6.22439177 -2.03408515 -2.20666112 -4.11789466] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 25 | Est. returns: -0.45991411805152893 | Returns: [-4.64555622 -2.11361408 -1.99722495 -2.07523483 -1.83376314] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 26 | Est. returns: 0.17022621631622314 | Returns: [-4.55028502 -4.21376741 -1.81121539 -2.28949862 -2.65030287] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 27 | Est. returns: -0.17374879121780396 | Returns: [-1.74016331 -2.31789254 -1.77754808 -1.77124422 -3.81999995] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 28 | Est. returns: -0.2127104103565216 | Returns: [-4.0605474  -3.14329904 -2.95583247 -4.88133184 -4.52504223] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 29 | Est. returns: -0.2421087920665741 | Returns: [-3.06700611 -4.27980765 -1.07342861 -1.41104358 -3.33228637] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 30 | Est. returns: 0.474448025226593 | Returns: [-2.43064364 -5.81195792 -2.49638939 -4.99739779 -1.6478589 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 31 | Est. returns: -0.1926577240228653 | Returns: [-3.21074827 -3.64862649 -2.34268935 -2.40148028 -5.25780567] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 32 | Est. returns: 0.42820778489112854 | Returns: [-5.1552683  -5.59323162 -2.17842395 -4.31757047 -1.01400231] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 33 | Est. returns: 0.3366357088088989 | Returns: [-4.2662961  -1.94270599 -1.83766755 -2.42685682 -6.019805  ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 34 | Est. returns: 0.3941032290458679 | Returns: [-4.65642589 -2.13746433 -2.17272268 -2.73331409 -3.6371111 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 35 | Est. returns: 0.129428893327713 | Returns: [-5.11990795 -4.81086174 -2.09898197 -3.21551883 -5.48325572] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 36 | Est. returns: 0.24505138397216797 | Returns: [-3.03146778 -5.60561104 -5.08924743 -2.13061488 -1.85959703] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 37 | Est. returns: -0.4500366747379303 | Returns: [-3.50793679 -2.97470587 -4.2670086  -2.36570014 -1.86506898] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 38 | Est. returns: 0.18803875148296356 | Returns: [-4.27703731 -4.59127556 -4.17732414 -2.20232967 -3.91760821] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
